[Tue Jul 23 19:32:33 VET 2024] DasVicgeta | Location: X: -16 Y: 67 Z: -30 | Line: 0 | CREAR RANKING
[Tue Jul 23 19:32:33 VET 2024] DasVicgeta | Location: X: -16 Y: 67 Z: -30 | Line: 1 | 
[Tue Jul 23 19:32:33 VET 2024] DasVicgeta | Location: X: -16 Y: 67 Z: -30 | Line: 2 | 
[Tue Jul 23 19:32:33 VET 2024] DasVicgeta | Location: X: -16 Y: 67 Z: -30 | Line: 3 | 
[Tue Jul 30 16:18:59 VET 2024] DasVicgeta | Location: X: 70 Y: 64 Z: 229 | Line: 0 | celesty
[Tue Jul 30 16:18:59 VET 2024] DasVicgeta | Location: X: 70 Y: 64 Z: 229 | Line: 1 | 
[Tue Jul 30 16:18:59 VET 2024] DasVicgeta | Location: X: 70 Y: 64 Z: 229 | Line: 2 | 
[Tue Jul 30 16:18:59 VET 2024] DasVicgeta | Location: X: 70 Y: 64 Z: 229 | Line: 3 | 
[Tue Jul 30 16:19:02 VET 2024] DasVicgeta | Location: X: 68 Y: 64 Z: 229 | Line: 0 | infenrus
[Tue Jul 30 16:19:02 VET 2024] DasVicgeta | Location: X: 68 Y: 64 Z: 229 | Line: 1 | 
[Tue Jul 30 16:19:02 VET 2024] DasVicgeta | Location: X: 68 Y: 64 Z: 229 | Line: 2 | 
[Tue Jul 30 16:19:02 VET 2024] DasVicgeta | Location: X: 68 Y: 64 Z: 229 | Line: 3 | 
[Tue Jul 30 16:19:09 VET 2024] DasVicgeta | Location: X: 68 Y: 64 Z: 229 | Line: 0 | infernus
[Tue Jul 30 16:19:09 VET 2024] DasVicgeta | Location: X: 68 Y: 64 Z: 229 | Line: 1 | 
[Tue Jul 30 16:19:09 VET 2024] DasVicgeta | Location: X: 68 Y: 64 Z: 229 | Line: 2 | 
[Tue Jul 30 16:19:09 VET 2024] DasVicgeta | Location: X: 68 Y: 64 Z: 229 | Line: 3 | 
[Tue Jul 30 16:30:51 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 29 | Line: 0 | KIT pilgrim
[Tue Jul 30 16:30:51 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 29 | Line: 1 | 
[Tue Jul 30 16:30:51 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 29 | Line: 2 | 
[Tue Jul 30 16:30:51 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 29 | Line: 3 | 
[Tue Jul 30 16:30:57 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 27 | Line: 0 | KIT paladin
[Tue Jul 30 16:30:57 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 27 | Line: 1 | 
[Tue Jul 30 16:30:57 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 27 | Line: 2 | 
[Tue Jul 30 16:30:57 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 27 | Line: 3 | 
[Tue Jul 30 16:31:09 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 25 | Line: 0 | KIT guardian
[Tue Jul 30 16:31:09 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 25 | Line: 1 | 
[Tue Jul 30 16:31:09 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 25 | Line: 2 | 
[Tue Jul 30 16:31:09 VET 2024] DasVicgeta | Location: X: 55 Y: 39 Z: 25 | Line: 3 | 
[Tue Jul 30 16:31:22 VET 2024] DasVicgeta | Location: X: 57 Y: 39 Z: 29 | Line: 0 | KIT ARCHANGEL
[Tue Jul 30 16:31:22 VET 2024] DasVicgeta | Location: X: 57 Y: 39 Z: 29 | Line: 1 | 
[Tue Jul 30 16:31:22 VET 2024] DasVicgeta | Location: X: 57 Y: 39 Z: 29 | Line: 2 | 
[Tue Jul 30 16:31:22 VET 2024] DasVicgeta | Location: X: 57 Y: 39 Z: 29 | Line: 3 | 
[Tue Jul 30 16:31:33 VET 2024] DasVicgeta | Location: X: 59 Y: 39 Z: 29 | Line: 0 | KIT SAINT
[Tue Jul 30 16:31:33 VET 2024] DasVicgeta | Location: X: 59 Y: 39 Z: 29 | Line: 1 | 
[Tue Jul 30 16:31:33 VET 2024] DasVicgeta | Location: X: 59 Y: 39 Z: 29 | Line: 2 | 
[Tue Jul 30 16:31:33 VET 2024] DasVicgeta | Location: X: 59 Y: 39 Z: 29 | Line: 3 | 
[Tue Jul 30 16:31:39 VET 2024] DasVicgeta | Location: X: 58 Y: 38 Z: 26 | Line: 0 | kit seeker
[Tue Jul 30 16:31:39 VET 2024] DasVicgeta | Location: X: 58 Y: 38 Z: 26 | Line: 1 | 
[Tue Jul 30 16:31:39 VET 2024] DasVicgeta | Location: X: 58 Y: 38 Z: 26 | Line: 2 | 
[Tue Jul 30 16:31:39 VET 2024] DasVicgeta | Location: X: 58 Y: 38 Z: 26 | Line: 3 | 
